"觀測時間(LST)ObsTime","測站氣壓(hPa)StnPres","海平面氣壓(hPa)SeaPres","測站最高氣壓(hPa)StnPresMax","測站最高氣壓時間(LST)StnPresMaxTime","測站最低氣壓(hPa)StnPresMin","測站最低氣壓時間(LST)StnPresMinTime","氣溫(℃)Temperature","最高氣溫(℃)T Max","最高氣溫時間(LST)T Max Time","最低氣溫(℃)T Min","最低氣溫時間(LST)T Min Time","露點溫度(℃)Td dew point","相對溼度(%)RH","最小相對溼度(%)RHMin","最小相對溼度時間(LST)RHMinTime","風速(m/s)WS","風向(最多風向)(360degree)WD","最大陣風(m/s)WSGust","最大陣風風向(360degree)WDGust","最大陣風風速時間(LST)WGustTime","降水量(mm)Precp","降水時數(hr)PrecpHour","10分鐘最大降水量(mm)PrecpMax10","10分鐘最大降水起始時間(LST)PrecpMax10Time","一小時最大降水量(mm)PrecpHrMax","一小時最大降水量起始時間(LST)PrecpHrMaxTime","日照時數(hr)SunShine","日照率(%)SunShineRate","全天空日射量(MJ/㎡)GloblRad","能見度(km)VisbMean","A型蒸發量(mm)EvapA"
"1","1008.0","1010.2","1009.6","2012-09-01 21:44","1006.7","2012-09-01 14:47","27.2","31.0","2012-09-01 12:35","24.5","2012-09-01 01:07","22.8","77","66","2012-09-01 16:31","2.0","130.0","6.8","200.0","2012-09-01 00:29","31.5","2.2","11.0","2012-09-01 00:33","28.0","2012-09-01 00:10","9.9","78.9","21.11","13.0","1.1"
"2","1007.6","1009.8","1008.8","2012-09-02 00:02","1006.3","2012-09-02 15:39","27.3","31.3","2012-09-02 12:54","23.9","2012-09-02 05:14","22.0","73","62","2012-09-02 14:19","2.8","240.0","6.1","230.0","2012-09-02 06:56","0.0","0.0","0.0","","0.0","","10.4","83.1","21.92","18.6","5.8"
"3","1007.9","1010.1","1009.9","2012-09-03 21:13","1006.5","2012-09-03 02:28","27.1","31.3","2012-09-03 14:15","24.0","2012-09-03 05:11","21.8","73","63","2012-09-03 08:52","3.0","230.0","8.0","160.0","2012-09-03 11:13","0.0","0.0","0.0","","0.0","","8.5","68.0","19.27","18.8","2.5"
"4","1010.0","1012.2","1011.8","2012-09-04 21:20","1008.6","2012-09-04 15:12","27.8","31.5","2012-09-04 14:25","24.5","2012-09-04 05:43","22.1","72","62","2012-09-04 14:51","2.3","140.0","5.5","250.0","2012-09-04 06:11","0.0","0.0","0.0","","0.0","","11.3","90.6","22.73","15.6","4.7"
"5","1011.8","1014.0","1013.5","2012-09-05 21:06","1010.4","2012-09-05 13:20","28.1","32.1","2012-09-05 14:15","24.8","2012-09-05 04:37","22.0","70","54","2012-09-05 09:37","2.4","140.0","6.3","160.0","2012-09-05 12:45","0.0","0.0","0.0","","0.0","","9.9","79.5","20.88","17.1","5.8"
"6","1012.3","1014.5","1014.0","2012-09-06 22:24","1010.3","2012-09-06 13:50","28.1","31.7","2012-09-06 11:45","26.0","2012-09-06 04:59","23.3","75","69","2012-09-06 13:07","2.8","230.0","8.1","140.0","2012-09-06 15:55","T","0.2","T","2012-09-06 22:35","T","2012-09-06 22:35","5.3","42.6","16.36","13.5","-4.8"
"7","1011.8","1014.0","1013.3","2012-09-07 00:01","1010.6","2012-09-07 14:35","28.5","32.3","2012-09-07 12:41","25.4","2012-09-07 05:45","23.0","72","62","2012-09-07 09:12","2.3","130.0","5.8","230.0","2012-09-07 05:54","0.0","0.0","0.0","","0.0","","8.8","70.9","19.29","15.8","-4.0"
"8","1010.9","1013.1","1012.3","2012-09-08 00:01","1009.2","2012-09-08 14:46","28.2","31.6","2012-09-08 13:02","24.9","2012-09-08 05:47","23.1","74","62","2012-09-08 17:47","2.0","140.0","5.2","160.0","2012-09-08 01:23","1.0","1.0","0.5","2012-09-08 01:29","1.0","2012-09-08 01:15","7.5","60.6","18.51","11.5","5.6"
"9","1009.5","1011.7","1011.1","2012-09-09 00:01","1007.8","2012-09-09 15:44","27.9","31.9","2012-09-09 12:59","24.4","2012-09-09 06:04","22.1","71","62","2012-09-09 14:17","2.6","230.0","6.4","150.0","2012-09-09 11:42","0.0","0.0","0.0","","0.0","","11.2","90.6","22.07","16.4","5.4"
"10","1009.0","1011.2","1010.4","2012-09-10 21:44","1007.6","2012-09-10 15:49","28.0","31.7","2012-09-10 11:56","24.7","2012-09-10 05:00","22.4","72","61","2012-09-10 09:37","2.4","130.0","6.3","250.0","2012-09-10 04:05","0.0","0.0","0.0","","0.0","","10.7","86.8","21.86","18.0","4.5"
